"TÍTULO DEL PROYECTO",INSTITUCIÓN,"NOMBRE COLABORADOR","NIVEL S.N.I. COLABORADOR","INSTITUCIÓN COLABORADOR",ESPECIALIDAD
"VALIDACIÓN DE GENES BIOMARCADORES DE RECURRENCIA EN PACIENTES MEXICANAS CON CÁNCER DE MAMA","INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY","LUIS MARIO VILLELA MARTINEZ",,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",
"Transplante Meniscal Lateral y Medial en de pacientes sintomáticos por meniscectomia previa con análisis inmunohistológico a un año de seguimiento. Fase 2.","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","MARIA CRISTINA VELASQUILLO MARTINEZ",,,
"Transplante Meniscal Lateral y Medial en de pacientes sintomáticos por meniscectomia previa con análisis inmunohistológico a un año de seguimiento. Fase 2.","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","ROBERTO SANCHEZ SANCHEZ",,"UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO",biotecnología
"EVALUACIÓN DE DIVERSAS VARIANTES GÉNICAS EN LOS GENES TLR4, TNFa, IL6 Y CD14 COMO POSIBLES MARCADORES DE SUSCEPTIBILIDAD EN EL DESARROLLO DE SEPSIS EN PACIENTES CON QUEMADURAS","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","César Misael Cerecedo Zapata",,UNAM,Genética
"Correlación de parámetros clínicos con la pérdida de función de la prolidasa responsable del reciclaje de colágenas en pacientes con osteoartritis","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","ALBERTO GABRIEL LÓPEZ REYES",,"INSTITUTO NACIONAL DE REHABILITACION",
"Correlación de parámetros clínicos con la pérdida de función de la prolidasa responsable del reciclaje de colágenas en pacientes con osteoartritis","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","CARLOS JAVIER PINEDA VILLASEÑOR","Nivel 2","INSTITUTO NACIONAL DE REHABILITACION",
"Correlación de parámetros clínicos con la pérdida de función de la prolidasa responsable del reciclaje de colágenas en pacientes con osteoartritis","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","JAVIER FERNANDEZ TORRES",,"INSTITUTO NACIONAL DE REHABILITACION",
"Correlación de parámetros clínicos con la pérdida de función de la prolidasa responsable del reciclaje de colágenas en pacientes con osteoartritis","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","LUCIO VENTURA RIOS",,"INSTITUTO NACIONAL DE REHABILITACION",
"Desarrollo y aplicación de un sustituto biológico dermo-epidérmico para el tratamiento de pacientes con quemaduras de tercer grado","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","JOSE CLEMENTE IBARRA PONCE DE LEON",,"INSTITUTO NACIONAL DE REHABILITACION",
"Desarrollo y aplicación de un sustituto biológico dermo-epidérmico para el tratamiento de pacientes con quemaduras de tercer grado","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","Lourdes del Carmen Rodriguez Rodriguez",,"Instituto Nacional de Rehabilitación",
"Desarrollo y aplicación de un sustituto biológico dermo-epidérmico para el tratamiento de pacientes con quemaduras de tercer grado","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","Ulises Joel Valero Ontiveros",,"Instituto Nacional de Rehabilitación",
"Transplante Meniscal Lateral y Medial en de pacientes sintomáticos por meniscectomia previa con análisis inmunohistológico a un año de seguimiento. Fase 2.","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","ARTURO ALMAZAN DIAZ",,,"ARTROSCOPIA Y LESIONES DEPORTIVAS"
"Transplante Meniscal Lateral y Medial en de pacientes sintomáticos por meniscectomia previa con análisis inmunohistológico a un año de seguimiento. Fase 2.","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","JOSE CLEMENTE IBARRA PONCE DE LEON",,"INSTITUTO NACIONAL DE REHABILITACION","Ortopedia del deporte y artroscopia"
"Transplante Meniscal Lateral y Medial en de pacientes sintomáticos por meniscectomia previa con análisis inmunohistológico a un año de seguimiento. Fase 2.","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","FRANCISCO CRUZ LÓPEZ",,,"ORTOPEDIA DEL DEPORTE Y ARTROSCOPIA"
"Transplante Meniscal Lateral y Medial en de pacientes sintomáticos por meniscectomia previa con análisis inmunohistológico a un año de seguimiento. Fase 2.","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","MARCO ACUÑA TOVAR",,,"ORTOPEDIA DEL DEPORTE Y ARTROSCOPIA. MAESTRIA EN CIENCIAS MÉDICAS"
"EVALUACIÓN DE DIVERSAS VARIANTES GÉNICAS EN LOS GENES TLR4, TNFa, IL6 Y CD14 COMO POSIBLES MARCADORES DE SUSCEPTIBILIDAD EN EL DESARROLLO DE SEPSIS EN PACIENTES CON QUEMADURAS","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","RAFAEL FRANCO CENDEJAS",,,INFECTOLOGÍA
"MODELO DE ATENCIÓN PARA LA PRESCRIPCIÓN DE SILLAS DE RUEDAS Y SISTEMAS DE POSICIONAMIENTO PARA PACIENTES CON DISCAPACIDAD","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","RAMIRO PÉREZ ZAVALA",,"INSTITUTO NACIONAL DE REHABILITACION","LESION MEDULAR"
"Transplante Meniscal Lateral y Medial en de pacientes sintomáticos por meniscectomia previa con análisis inmunohistológico a un año de seguimiento. Fase 2.","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","socorro cortez gonzalez",,"instituto nacional de rehabilitación",radiología
"MODELO DE ATENCIÓN PARA LA PRESCRIPCIÓN DE SILLAS DE RUEDAS Y SISTEMAS DE POSICIONAMIENTO PARA PACIENTES CON DISCAPACIDAD","SECRETARIA DE SALUD / INSTITUTO NACIONAL DE REHABILITACION","MARÍA DE LA LUZ HERNÁNDEZ ZEA",,"INSTITUTO NACIONAL DE REHABILITACIÓN","TERAPIA OCUPACIONAL"
"Extracción, conservación e implante de membrana amniótica humana para la reconstrucción y tratamiento de diferentes patologías en la superficie ocular.","UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA","José Luis Pineda Camacho",,"Fac. de Medicina y Psicología de la Universidad Autónoma de Baja California",
"Extracción, conservación e implante de membrana amniótica humana para la reconstrucción y tratamiento de diferentes patologías en la superficie ocular.","UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA","Jesús Eduardo Moreno Santillán",,"Instituto de Seguridad y Servicio Social de los Trabajadores del Estado en Baja Calofornia",
"Extracción, conservación e implante de membrana amniótica humana para la reconstrucción y tratamiento de diferentes patologías en la superficie ocular.","UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA","Marisela Castrejón Tovar",,ISSSTE,"Inmunologia clinica y alergias"
"Extracción, conservación e implante de membrana amniótica humana para la reconstrucción y tratamiento de diferentes patologías en la superficie ocular.","UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA","IRMA ZAMUDIO VALDERRAMA",,"Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado de Baja California","Oftalmóloga con especialidad en cornea"
"Extracción, conservación e implante de membrana amniótica humana para la reconstrucción y tratamiento de diferentes patologías en la superficie ocular.","UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA","VILMA VALDEZ KIM",,"Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado de Baja California","oftalmóloga pediátrica y estrabismo"
"DESARROLLO DE MODELO DE FORMACIÓN TORACOSCÓPICA PARA ATRESIA ESOFÁGICA TIPO III EN CONEJO","UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ","ARACELI GARCÍA VÁZQUEZ",,"HOSPITAL UNIVERSITARIO 12 DE OCTUBRE, MADRID, ESPAÑA","CIRUGÍA PEDIÁTRICA"
"DESARROLLO DE MODELO DE FORMACIÓN TORACOSCÓPICA PARA ATRESIA ESOFÁGICA TIPO III EN CONEJO","UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ","INDALECIO CANO NOVILLO",,"HOSPITAL UNIVERSITARIO 12 DE OCTUBRE, MADRID, ESPAÑA","CIRUGÍA PEDIÁTRICA"
"DISEÑO DE UN PANEL DE BIOMARCADORES PARA LA DETECCIÓN TEMPRANA DE CÁNCER CÉRVICOUTERINO A PARTIR DE UNA SOLA TOMA DE MUESTRA.","UNIVERSIDAD AUTONOMA DE GUERRERO","BERENICE ILLADES AGUIAR","Nivel 2","UNIVERSIDAD AUTONOMA DE GUERRERO",
"DISEÑO DE UN PANEL DE BIOMARCADORES PARA LA DETECCIÓN TEMPRANA DE CÁNCER CÉRVICOUTERINO A PARTIR DE UNA SOLA TOMA DE MUESTRA.","UNIVERSIDAD AUTONOMA DE GUERRERO","JULIO ORTIZ ORTIZ",,"UNIVERSIDAD AUTONOMA DE GUERRERO",
"DISEÑO DE UN PANEL DE BIOMARCADORES PARA LA DETECCIÓN TEMPRANA DE CÁNCER CÉRVICOUTERINO A PARTIR DE UNA SOLA TOMA DE MUESTRA.","UNIVERSIDAD AUTONOMA DE GUERRERO","MIGUEL ANGEL MENDOZA CATALÁN",,"Unviversidad Autónoma de Guerrero",
"DISEÑO DE UN PANEL DE BIOMARCADORES PARA LA DETECCIÓN TEMPRANA DE CÁNCER CÉRVICOUTERINO A PARTIR DE UNA SOLA TOMA DE MUESTRA.","UNIVERSIDAD AUTONOMA DE GUERRERO","VICTOR HUGO GARZON BARRIENTOS",,"Instituto Estatal de Cancerología ""Dr. Arturo Beltán Ortega"". Chilpancingo, Gro.",
"DISEÑO DE UN PANEL DE BIOMARCADORES PARA LA DETECCIÓN TEMPRANA DE CÁNCER CÉRVICOUTERINO A PARTIR DE UNA SOLA TOMA DE MUESTRA.","UNIVERSIDAD AUTONOMA DE GUERRERO","LUZ DEL CARMEN ALARCON ROMERO","Nivel 1","UNIVERSIDAD AUTONOMA DE GUERRERO",
"DISEÑO DE UN PANEL DE BIOMARCADORES PARA LA DETECCIÓN TEMPRANA DE CÁNCER CÉRVICOUTERINO A PARTIR DE UNA SOLA TOMA DE MUESTRA.","UNIVERSIDAD AUTONOMA DE GUERRERO","YANETH CASTRO CORONEL",Candidato,"UNIVERSIDAD AUTONOMA DE GUERRERO",
"Polimorfismos en el gen de VEGF y su relación con el cáncer de próstata en la población del occidente del país","UNIVERSIDAD AUTONOMA DE NAYARIT","JOSE NAVARRO PARTIDA",,,
"Polimorfismos en el gen de VEGF y su relación con el cáncer de próstata en la población del occidente del país","UNIVERSIDAD AUTONOMA DE NAYARIT","LUIS EDUARDO WONG LEY MADERO",,"UNIVERSIDAD AUTONOMA DE NAYARIT",
"Polimorfismos en el gen de VEGF y su relación con el cáncer de próstata en la población del occidente del país","UNIVERSIDAD AUTONOMA DE NAYARIT","JOSE FRANCISCO MUÑOZ VALLE","Nivel 3","UNIVERSIDAD DE GUADALAJARA",
"Perfil de expresión de miRNAs y citocinas asociados con la inflamación en niños y adultos con infecciones respiratorias agudas como biomarcadores de gravedad","UNIVERSIDAD AUTONOMA DE NUEVO LEON","FERNANDO FELIX MONTES TAPIA",,"UNIVERSIDAD AUTONOMA DE NUEVO LEON",
"Perfil de expresión de miRNAs y citocinas asociados con la inflamación en niños y adultos con infecciones respiratorias agudas como biomarcadores de gravedad","UNIVERSIDAD AUTONOMA DE NUEVO LEON","CONSUELO TREVIÑO GARZA",,"UNIVERSIDAD AUTONOMA DE NUEVO LEON",
"ABORDAJE FARMACOGENÓMICO PARA EL ESTUDIO DE LA QUIMIOTERAPIA INSTITUCIONAL PARA CÁNCER GÁSTRICO","UNIVERSIDAD AUTONOMA DE NUEVO LEON","JUAN FRANCISCO GONZALEZ GUERRERO",,"UNIVERSIDAD AUTONOMA DE NUEVO LEON",
"ABORDAJE FARMACOGENÓMICO PARA EL ESTUDIO DE LA QUIMIOTERAPIA INSTITUCIONAL PARA CÁNCER GÁSTRICO","UNIVERSIDAD AUTONOMA DE NUEVO LEON","SERGIO BUENAVENTURA CISNEROS",,"UNIVERSIDAD AUTONOMA DE NUEVO LEON",
"Perfil de expresión de miRNAs y citocinas asociados con la inflamación en niños y adultos con infecciones respiratorias agudas como biomarcadores de gravedad","UNIVERSIDAD AUTONOMA DE NUEVO LEON","MANUEL ENRIQUE DE LA O CAVAZOS",,,Infectología
"PERFIL DE METILACIÓN EN DNA TUMORAL Y CIRCULANTE COMO BIOMARCADOR DE DIAGNOSTICO TEMPRANO Y PRONOSTICO, EN PACIENTES CON CÁNCER COLORRECTAL.","UNIVERSIDAD AUTONOMA DE NUEVO LEON","JUAN FRANCISCO GONZALEZ GUERRERO",,"UNIVERSIDAD AUTONOMA DE NUEVO LEON",Oncologia
"Perfil de expresión de miRNAs y citocinas asociados con la inflamación en niños y adultos con infecciones respiratorias agudas como biomarcadores de gravedad","UNIVERSIDAD AUTONOMA DE NUEVO LEON","Miguel Angel Flores Caballero",,"Hospital Universitario UANL",
"ABORDAJE FARMACOGENÓMICO PARA EL ESTUDIO DE LA QUIMIOTERAPIA INSTITUCIONAL PARA CÁNCER GÁSTRICO","UNIVERSIDAD AUTONOMA DE NUEVO LEON","HECTOR JESUS MALDONADO GARZA","Nivel 1","UNIVERSIDAD AUTONOMA DE NUEVO LEON",
"Perfil de expresión de miRNAs y citocinas asociados con la inflamación en niños y adultos con infecciones respiratorias agudas como biomarcadores de gravedad","UNIVERSIDAD AUTONOMA DE NUEVO LEON","LUIS ADRIAN RENDON PEREZ","Nivel 1","UNIVERSIDAD AUTONOMA DE NUEVO LEON",
"PERFIL DE METILACIÓN EN DNA TUMORAL Y CIRCULANTE COMO BIOMARCADOR DE DIAGNOSTICO TEMPRANO Y PRONOSTICO, EN PACIENTES CON CÁNCER COLORRECTAL.","UNIVERSIDAD AUTONOMA DE NUEVO LEON","HECTOR JESUS MALDONADO GARZA","Nivel 1","UNIVERSIDAD AUTONOMA DE NUEVO LEON",Gastroenterologia
"PERFIL DE METILACIÓN EN DNA TUMORAL Y CIRCULANTE COMO BIOMARCADOR DE DIAGNOSTICO TEMPRANO Y PRONOSTICO, EN PACIENTES CON CÁNCER COLORRECTAL.","UNIVERSIDAD AUTONOMA DE NUEVO LEON","IRMA SANDRA GARCIA CONZALEZ",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL",GASTROENTEROLOGÍA
"ABORDAJE FARMACOGENÓMICO PARA EL ESTUDIO DE LA QUIMIOTERAPIA INSTITUCIONAL PARA CÁNCER GÁSTRICO","UNIVERSIDAD AUTONOMA DE NUEVO LEON","GERARDO ENRIQUE MUÑOZ MALDONADO","Nivel 1","UNIVERSIDAD AUTONOMA DE NUEVO LEON",
"ABORDAJE FARMACOGENÓMICO PARA EL ESTUDIO DE LA QUIMIOTERAPIA INSTITUCIONAL PARA CÁNCER GÁSTRICO","UNIVERSIDAD AUTONOMA DE NUEVO LEON","AUGUSTO ROJAS MARTINEZ","Nivel 2","UNIVERSIDAD AUTONOMA DE NUEVO LEON","Biología Molecular"
"Perfil de expresión de miRNAs y citocinas asociados con la inflamación en niños y adultos con infecciones respiratorias agudas como biomarcadores de gravedad","UNIVERSIDAD AUTONOMA DE NUEVO LEON","MARIO CESAR SALINAS CARMONA","Nivel 3","UNIVERSIDAD AUTONOMA DE NUEVO LEON",
"PERFIL DE METILACIÓN EN DNA TUMORAL Y CIRCULANTE COMO BIOMARCADOR DE DIAGNOSTICO TEMPRANO Y PRONOSTICO, EN PACIENTES CON CÁNCER COLORRECTAL.","UNIVERSIDAD AUTONOMA DE NUEVO LEON","ORALIA BARBOZA QUINTANA","Nivel 1","UNIVERSIDAD AUTONOMA DE NUEVO LEON","ANATOMÍA PATOLÓGICA"
"PERFIL DE METILACIÓN EN DNA TUMORAL Y CIRCULANTE COMO BIOMARCADOR DE DIAGNOSTICO TEMPRANO Y PRONOSTICO, EN PACIENTES CON CÁNCER COLORRECTAL.","UNIVERSIDAD AUTONOMA DE NUEVO LEON","JUAN PABLO FLORES GUTIERREZ",,"UNIVERSIDAD AUTONOMA DE NUEVO LEON","Patología del Sistema Digestivo"
"BÚSQUEDA DE AGREGADOS DE PROTEINAS TAU, SINUCLEÍNA Y TDP 43  EN PIEL DE PACIENTES CON ENFERMEDADES NEURODEGENERATIVAS","UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI","MARTHA EUGENIA SANTOYO PÉREZ","Nivel 1",,"CIENCIAS MORFOLOGICAS"
"BÚSQUEDA DE AGREGADOS DE PROTEINAS TAU, SINUCLEÍNA Y TDP 43  EN PIEL DE PACIENTES CON ENFERMEDADES NEURODEGENERATIVAS","UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI","JULIO SEPULVEDA SAAVEDRA","Nivel 1","UNIVERSIDAD AUTONOMA DE NUEVO LEON","CIENCIAS MORFOLOGICAS"
"Polimorfismo genético de la Paraoxonasa 1 (Q192R) y su asociación con marcadores de riesgo cardiovascular en mujeres mexicanas expuestas a hidrocarburos aromáticos policíclicos.","UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI","Frinné Rodríguez Ramos",,"UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI",
"BÚSQUEDA DE AGREGADOS DE PROTEINAS TAU, SINUCLEÍNA Y TDP 43  EN PIEL DE PACIENTES CON ENFERMEDADES NEURODEGENERATIVAS","UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI","YURIDIA LISET ROQUE VILLAVICENCIO","Nivel 3","UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI",NEUROLOGIA
"BÚSQUEDA DE AGREGADOS DE PROTEINAS TAU, SINUCLEÍNA Y TDP 43  EN PIEL DE PACIENTES CON ENFERMEDADES NEURODEGENERATIVAS","UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI","ILDEFONSO RODRIGUEZ LEYVA","Nivel 1",,Neurología
"BÚSQUEDA DE AGREGADOS DE PROTEINAS TAU, SINUCLEÍNA Y TDP 43  EN PIEL DE PACIENTES CON ENFERMEDADES NEURODEGENERATIVAS","UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI","ANA L CALDERON GARCIDUENAS",,,NEUROPATOLOGIA
"Utilidad de indicadores tempranos de riesgo de cáncer de seno considerando las variantes génicas de la polimerización de la adiponectina y la presencia de receptores AdipoR1, AdipoR2, de estrógenos (ER) y de progesterona (PR) en el tejido mamario","UNIVERSIDAD AUTONOMA DE SINALOA","Thierry Jardé",,"Monash University · Department of Anatomy and Developmental Biology","Evaluación inmunohistológica de carcinomas"
"DESARROLLO Y EVALUACIÓN DE UN NUEVO DISPOSITIVO DE AVANCE MANDIBULAR COMO TRATAMIENTO TERAPEÚTICO PARA PACIENTES CON SAOS Y RONQUIDO SECUNDARIO A  OBSTRUCCIÓN EN BASE DE LENGUA.","UNIVERSIDAD AUTONOMA METROPOLITANA","GUADALUPE JOVANNA TERÁN PÉREZ",,,"medicina del sueño"
"DESARROLLO Y EVALUACIÓN DE UN NUEVO DISPOSITIVO DE AVANCE MANDIBULAR COMO TRATAMIENTO TERAPEÚTICO PARA PACIENTES CON SAOS Y RONQUIDO SECUNDARIO A  OBSTRUCCIÓN EN BASE DE LENGUA.","UNIVERSIDAD AUTONOMA METROPOLITANA","DEBORA YOALY ARANA LECHUGA","Nivel 1",,sueño
"EFECTO DE UNA DIETA MODERADA EN GRASA SUPLEMENTADA CON ACEITE DE PESCADO OMEGA-3 SOBRE LOS NIVELES SÉRICOS DE TNF-ALFA, ADIPONECTINA, ESTROGENOS Y EXPRESIÓN DE AROMATASA EN MUJERES OBESAS POSTMENOPAUSICAS CON DIAGNÓSTICO DE CANCER DE MAMA","UNIVERSIDAD DE GUADALAJARA","MARITZA ROXANA GARCÍA GARCÍA",,"UNIVERSIDAD DE GUADALAJARA",
"EFECTO DE UNA DIETA MODERADA EN GRASA SUPLEMENTADA CON ACEITE DE PESCADO OMEGA-3 SOBRE LOS NIVELES SÉRICOS DE TNF-ALFA, ADIPONECTINA, ESTROGENOS Y EXPRESIÓN DE AROMATASA EN MUJERES OBESAS POSTMENOPAUSICAS CON DIAGNÓSTICO DE CANCER DE MAMA","UNIVERSIDAD DE GUADALAJARA","WENDY YERENI CAMPOS PEREZ",,"UNIVERSIDAD DE GUADALAJARA",
"EFECTO DE UNA DIETA MODERADA EN GRASA SUPLEMENTADA CON ACEITE DE PESCADO OMEGA-3 SOBRE LOS NIVELES SÉRICOS DE TNF-ALFA, ADIPONECTINA, ESTROGENOS Y EXPRESIÓN DE AROMATASA EN MUJERES OBESAS POSTMENOPAUSICAS CON DIAGNÓSTICO DE CANCER DE MAMA","UNIVERSIDAD DE GUADALAJARA","BERTHA RUIZ MADRIGAL","Nivel 1","UNIVERSIDAD DE GUADALAJARA",
"EFECTO DE UNA DIETA MODERADA EN GRASA SUPLEMENTADA CON ACEITE DE PESCADO OMEGA-3 SOBRE LOS NIVELES SÉRICOS DE TNF-ALFA, ADIPONECTINA, ESTROGENOS Y EXPRESIÓN DE AROMATASA EN MUJERES OBESAS POSTMENOPAUSICAS CON DIAGNÓSTICO DE CANCER DE MAMA","UNIVERSIDAD DE GUADALAJARA","ARTURO PANDURO CERDA","Nivel 3","UNIVERSIDAD DE GUADALAJARA",
"ESTUDIO DE GENES KIR 2DL2 / 2DL3 / 2DS2 COMO MARCADORES GENÉTICOS, Y DE LOS GENES DE SUS LIGANDOS HLA,  EN LA RESPUESTA AL TRATAMIENTO CON DROGAS MODIFICADORAS DE LA ENFERMEDAD EN ARTRITIS REUMATOIDE","UNIVERSIDAD DE GUADALAJARA","MARIA GUADALUPE RAMIREZ DUEÑAS","Nivel 1","UNIVERSIDAD DE GUADALAJARA","GENETICA HUMANA, INMUNOGENETICA"
"ESTUDIO DE GENES KIR 2DL2 / 2DL3 / 2DS2 COMO MARCADORES GENÉTICOS, Y DE LOS GENES DE SUS LIGANDOS HLA,  EN LA RESPUESTA AL TRATAMIENTO CON DROGAS MODIFICADORAS DE LA ENFERMEDAD EN ARTRITIS REUMATOIDE","UNIVERSIDAD DE GUADALAJARA","JOSE FRANCISCO MUÑOZ VALLE","Nivel 3","UNIVERSIDAD DE GUADALAJARA","INMUNOGENETICA MOLECULAR"
"ESTUDIO DE GENES KIR 2DL2 / 2DL3 / 2DS2 COMO MARCADORES GENÉTICOS, Y DE LOS GENES DE SUS LIGANDOS HLA,  EN LA RESPUESTA AL TRATAMIENTO CON DROGAS MODIFICADORAS DE LA ENFERMEDAD EN ARTRITIS REUMATOIDE","UNIVERSIDAD DE GUADALAJARA","SAUL RAMIREZ DE LOS SANTOS",,"Universidad de Guadalajara",INMUNOLOGIA
"ESTUDIO DE GENES KIR 2DL2 / 2DL3 / 2DS2 COMO MARCADORES GENÉTICOS, Y DE LOS GENES DE SUS LIGANDOS HLA,  EN LA RESPUESTA AL TRATAMIENTO CON DROGAS MODIFICADORAS DE LA ENFERMEDAD EN ARTRITIS REUMATOIDE","UNIVERSIDAD DE GUADALAJARA","PEDRO ERNESTO SANCHEZ HERNANDEZ","Nivel 1","UNIVERSIDAD DE GUADALAJARA",INMUNOLOGIA
"ESTUDIO DE GENES KIR 2DL2 / 2DL3 / 2DS2 COMO MARCADORES GENÉTICOS, Y DE LOS GENES DE SUS LIGANDOS HLA,  EN LA RESPUESTA AL TRATAMIENTO CON DROGAS MODIFICADORAS DE LA ENFERMEDAD EN ARTRITIS REUMATOIDE","UNIVERSIDAD DE GUADALAJARA","TRINIDAD GARCIA IGLESIAS","Nivel 1","UNIVERSIDAD DE GUADALAJARA",INMUNOLOGIA
"ESTUDIO DE GENES KIR 2DL2 / 2DL3 / 2DS2 COMO MARCADORES GENÉTICOS, Y DE LOS GENES DE SUS LIGANDOS HLA,  EN LA RESPUESTA AL TRATAMIENTO CON DROGAS MODIFICADORAS DE LA ENFERMEDAD EN ARTRITIS REUMATOIDE","UNIVERSIDAD DE GUADALAJARA","CLAUDIA AZUCENA PALAFOX SANCHEZ","Nivel 1","UNIVERSIDAD DE GUADALAJARA","REUMATOLOGIA, INMUNOLOGIA"
"EFECTO DE UNA DIETA MODERADA EN GRASA SUPLEMENTADA CON ACEITE DE PESCADO OMEGA-3 SOBRE LOS NIVELES SÉRICOS DE TNF-ALFA, ADIPONECTINA, ESTROGENOS Y EXPRESIÓN DE AROMATASA EN MUJERES OBESAS POSTMENOPAUSICAS CON DIAGNÓSTICO DE CANCER DE MAMA","UNIVERSIDAD DE GUADALAJARA","JOSE LUIS CAMACHO CORTES",,"INSTITUTO JALISCIENCE DE CANCEROLOGÍA",
"EFECTO DE UNA DIETA MODERADA EN GRASA SUPLEMENTADA CON ACEITE DE PESCADO OMEGA-3 SOBRE LOS NIVELES SÉRICOS DE TNF-ALFA, ADIPONECTINA, ESTROGENOS Y EXPRESIÓN DE AROMATASA EN MUJERES OBESAS POSTMENOPAUSICAS CON DIAGNÓSTICO DE CANCER DE MAMA","UNIVERSIDAD DE GUADALAJARA","JULIAN ADRIAN ANGELES SANCHEZ",,"INSTITUTO JALISCIENCE DE CANCEROLOGÍA",
"Eficacia de un abordaje familiar e interdisciplinario para prevención de diabetes, y su efecto sobre perfiles familiares e individuales de secreción de insulina y resistencia a la insulina en pacientes con prediabetes.","UNIVERSIDAD DE GUANAJUATO","REBECA MONROY TORRES",Candidato,"UNIVERSIDAD DE GUANAJUATO",
"Implantes de homo-injertos valvulares para enfermedades cardiovasculares","UNIVERSIDAD DE MONTERREY","MARÍA GUADALUPE MORENO TREVIÑO",,,
