"TITULO DEL PROYECTO",INSTITUCIÓN,"RESPONSABLE TÉCNICO","NIVEL S.N.I.",DEMANDA
"Conducta de búsqueda y TDAH, un modelo para el estudio clínico del TDAH y el análisis de las funciones ejecutivas.","Universidad Nacional Autónoma de México","Robyn Elizabeth Hudson",3,"Trastornos Psiquiátricos o Neurológicos"
"Evaluación del efecto combinado de Ademetionina (S-Adenosyl Metionina) y la terapia estándar de IFN (PEG-IFN-alfa y Ribavirina) en la replicación del VHC: estudio in vitro y en pacientes con Hepatitis C","Universidad Autónoma de Nuevo León","Linda Elsa Muñoz Espinosa",2,"Enfermedades crónicas o degenerativas"
"Polimorfismos en Calpaína-10 y su efecto sobre la expresión del gen en niños con obesidad. Posible marcador de riesgo para síndrome metabólico","Universidad Nacional Autónoma de México","Martha Patricia Ostrosky Shejet",3,"Enfermedades crónicas o degenerativas"
"BIOMARCADORES GENÉTICOS ASOCIADOS A LA DEPRESIÓN EN ENFERMEDADES NEURODEGENERATIVAS EN POBLACIÓN MESTIZO MEXICANA","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""","Patricia Rojas Castañeda",2,"Trastornos Psiquiátricos o Neurológicos"
"ANÁLISIS DE LA EXPRESIÓN DE CAV1 Y PTRF (CAVINA-1) EN CÉLULAS MONONUCLEARES DE SANGRE PERIFÉRICA Y TUMORES DE  OSTEOSARCOMA HUMANO EN POBLACION MEXICANA Y SU CORRELACIÓN COMO MARCADORES DE MALIGNIDAD","Instituto Nacional de Rehabilitación","Benjamín Gómez Díaz",Candidato,"Neoplasias malignas"
"INFLUENCIA DE CYP2D6 EN LA GENOTOXICIDAD INDUCIDA POR LAS ANFETAMINAS","Universidad Nacional Autónoma de México","Ana Maria Salazar Martínez",1,"Trastornos Psiquiátricos o Neurológicos"
"Validación de un nuevo método para el diagnóstico temprano de la tricomonosis.","Centro de Investigación y de Estudios Avanzados del IPN","Rossana Arroyo Verástegui",2,"Desarrollo de Tecnologías para la Salud"
"Estudio de las moléculas IKBNS y Bcl-3 en la interrupción temprana del embarazo","Instituto Politécnico Nacional","Sandra Rodríguez Martínez",1,"Salud Reproductiva y Perinatal"
"Evaluación del Impacto en Salud por exposición a contaminantes atmosféricos criterio en 26 ciudades de México.","Instituto Nacional de Salud Pública","José Luis Texcalac Sangrador",,"Medio Ambiente y Salud"
"Estrategia comunitaria de atención en salud de las personas adultas mayores en situación de desprotección social en comunidades rurales del estado de Morelos: Un modelo de atención con enfoque social.","Instituto Nacional de Salud Pública","Margarita Márquez Serrano",,"Grupos Vulnerables"
"Proyecto de prevalencia y antropología de la medicina de trastornos musculoesqueléticos y enfermedades reumaticas en comunidades indigenas Mayas, Mixtecas y Zapotecas","Hospital General de México","Ingris del Pilar Peláez Ballestas",1,"Grupos Vulnerables"
"Costo-efectividad y retos de implementación de intervenciones interculturales de salud materna en poblaciones indígenas de México","Instituto Nacional de Salud Pública","Miguel Ángel González Block",2,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"Desarrollo de un método rápido de drogosusceptibilidad para M. tuberculosis mediante el uso de materiales cerámicos","Universidad de Sonora","Adriana Garibay Escobar",1,"Enfermedades infecciosas y parasitarias"
"ESTUDIO DE LA INFECCIÓN POR VPH DE ALTO RIESGO EN LA REGIÓN ANAL DE LAS MUJERES CON LESIONES ESCAMOSAS INTRAEPITELIALES O CÁNCER CERVICOUTERINO","Universidad Autónoma de Yucatán","María del Refugio González Losa",1,"Enfermedades infecciosas y parasitarias"
"EVALUACIÓN DEL SISTEMA DE VIGILANCIA Y PROMOCIÓN DEL DESARROLLO INTEGRAL DEL NIÑO. ESTUDIOS DE VALIDEZ CONCURRENTE E IMPACTO, Y DISEÑO DE ESTRATEGIAS DE CAPACITACIÓN.","Instituto Nacional de Pediatria","Iván Rolando Rivera González",,"Trastornos Psiquiátricos o Neurológicos"
"Asociación entre polimorfismos genéticos de proteínas involucradas en el transporte, metabolismo e interacción del fármaco oseltamivir y las reacciones adversas en pacientes del IMSS en el noreste de México.","Instituto Mexicano del Seguro Social","Mario Abelardo Bermúdez De León",1,"Enfermedades infecciosas y parasitarias"
"EVALUACIÓN DE LA SALUD AMBIENTAL INFANTIL DE UNA COMUNIDAD DEL ESTADO DE MÉXICO","Universidad Autónoma de San Luis Potosí","Leticia Guadalupe Yáñez Estrada",1,"Medio Ambiente y Salud"
"Estudio de los genes de resistencia a multidrogas de la familia (ABC-B1,B7,B11) y del polimorfimo C3435T  en pacientes con leucemia aguda  y su impacto  clínico.","Hospital General de México","Adolfo Martínez Tovar",Candidato,"Neoplasias malignas"
"Perfiles de expresión y metilación en pacientes con cáncer de mama triple negativo, y su asociación con la respuesta favorable/desfavorales al tratamiento (quimioterapia).","Universidad Autónoma de Nuevo León","Rocio Ortíz López",2,"Neoplasias malignas"
"IDENTIFICACIÓN DE POLIMORFISMOS DE NAT2 COMO MARCADORES GENÉTICOS Y SU ASOCIACIÓN CON LA FARMACOCINÉTICA DE ISONIACIDA Y SU METABOLITO. HACIA UNA ESTRATEGIA PARA LA INDIVIDUALIZACIÓN DE LA TERAPIA ANTIFÍMICA EN PACIENTES CON TUBERCULOSIS.","Universidad Autónoma de San Luis Potosí","Rosa del Carmen Milán Segovia",,"Enfermedades infecciosas y parasitarias"
"Polimorfismos y niveles de expresión del gen de quimasa y su relación funcional sobre la expresión de genes vasoactivos como marcadores de riesgo para el desarrollo de la preeclampsia.","Instituto Politécnico Nacional","Carlos Galáviz Hernández",1,"Salud Reproductiva y Perinatal"
"Identificación de microRNA-326 como un marcador genético útil para evaluar la severidad de la tuberculosis en población mexicana y su asociación con el biomarcador de inflamación Th17.","Universidad Autónoma de San Luis Potosí","Diana Patricia Portales Pérez",2,"Enfermedades infecciosas y parasitarias"
"Termografía funcional aplicada a la identificación de infección intrauterina en mujeres embarazadas.","Universidad Nacional Autónoma de México","Crescencio García Segundo",1,"Salud Reproductiva y Perinatal"
"IDENTIFICACIÓN DE BIOMARCADORES ASOCIADOS A LESIONES GÁSTRICAS PREMALIGNAS Y DE TRANSFORMACIÓN A CÁNCER POR MEDIO DE ELECTROFORESIS BI-DIMENSIONAL Y ESPECTROMETRÍA DE MASAS (LC-MS).","Instituto Nacional de Salud Pública","Guadalupe Ayala Aguilar",1,"Neoplasias malignas"
"Efecto de los polimorfismos genéticos del CYP3A4, CYP3A5, MDR1 y NAT2 sobre la Farmacocinética de nifedipina e hidralazina y su respuesta clínica en mujeres con preeclampsia-eclampsia.","Instituto Politécnico Nacional","Martha Guadalupe Sosa Macías",1,"Salud Reproductiva y Perinatal"
"Desarrollo de un implante  osteogénico generado mediante técnicas de ingeniería tisular para reparar defectos óseos maxilares","Hospital General ""Dr. Manuel Gea González""","Marcia Rosario Pérez Dosal",,"Trasplantes y Preservación de Órganos, Células, Células Troncales y Tejidos"
"Reemplazo de menisco con una bioprótesis de materiales sintéticos bioabsorbibles y células troncales autólogas.","Instituto Nacional de Rehabilitación","Carlos Javier Pineda Villaseñor",2,"Enfermedades crónicas o degenerativas"
"Efecto de la exposición a nanotubos de carbono sobre el endotelio vascular y la fibrinólisis","Centro de Investigación y de Estudios Avanzados del IPN","Arnulfo Albores Medina",3,"Desarrollo de Tecnologías para la Salud"
"Elaboración y evaluación de una vacuna de ADN universal contra la influenza A","Instituto Politécnico Nacional","Ángel Eduardo Absalón Constantino",Candidato,"Enfermedades infecciosas y parasitarias"
"EXPOSICIÓN A FTALATOS EN NIÑOS DE MEXICO Y SU ASOCIACIÓN CON LA FUNCIÓN TIROIDEA Y SUS EFECTOS NEUROTÓXICOS","Universidad Autónoma de San Luis Potosí","Ivan Nelinho Pérez Maldonado",1,"Medio Ambiente y Salud"
"SEROEPIDEMIOLOGIA A NIVEL NACIONAL DE TRES INFECCIONES DE TRANSMISION SEXUAL CON EFECTOS SINERGISTICOS: VIH/SIDA, SIFILIS Y HERPES GENITAL","Instituto Nacional de Salud Pública","Carlos Jesus Conde González",2,"Enfermedades infecciosas y parasitarias"
"ENFERMEDAD CARDIOVASCULAR  EN ESTADIOS TEMPRANOS DE LA NEFROPATÍA DIABETICA EN POBLACIÓN MEXICANA CON DIABETES MELLITUS-2","Universidad Autónoma de Querétaro","María Ludivina Robles Osorio",1,"Enfermedades crónicas o degenerativas"
"FARMACOGENÉTICA DEL TRANSPORTE DE METOTREXATO Y SU RELACIÓN CON LAS CONCENTRACIONES DEL FÁRMACO EN PACIENTES PEDIÁTRICOS CON DIAGNÓSTICO DE LEUCEMIA LINFOBLÁSTICA AGUDA","Instituto Nacional de Pediatria","Juan Luis Chavez Pacheco",1,"Neoplasias malignas"
"ANALISIS DE LA PROLACTINA Y DE LAS VASOINHIBINAS CIRCULANTES COMO FACTORES PRONOSTICOS DE LA PROGRESION DE LA RETINOPATIA DEL PREMATURO","Universidad Nacional Autónoma de México","MARIA DEL CARMEN CLAPP JIMENEZ LABORA",3,"Salud Reproductiva y Perinatal"
"Desarrollo de matrices de arabinoxilanos ferulados como sistemas para la liberación controlada de insulina","Centro de Investigación en Alimentación y Desarrollo AC","ELIZABETH CARVAJAL MILLAN",2,"Desarrollo de tecnologías para la salud"
"Efecto de la suplementación de los ácidos grasos eicosapentaenoico y docosahexaenoico sobre el estado inflamatorio y alteraciones metabólicas en pacientes con distrofia muscular de Duchenne/Becker","Instituto Mexicano del Seguro Social","MARICELA RODRIGUEZ CRUZ",1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"Desarrollo de una herramienta pronóstico de respuesta al tratamiento con levetiracetam mediante el análisis in vivo de la expresión de la proteína SV2A en pacientes pediátricos con epilepsia parcial","Instituto Nacional de Pediatria","JULIETA GRISELDA MENDOZA TORREBLANCA",Candidato,"Trastornos Psiquiátricos o Neurológicos"
"Hipertensión postrasplante renal. Mecanismos y tratamiento.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","GERARDO GAMBA AYALA",3,"Enfermedades crónicas o degenerativas"
"DETERMINACIÓN DE BIOMARCADORES EN SANGRE PERIFERICA PARA PREDECIR RESPUESTA, TOXICIDAD AL TRATAMIENTO Y SOBREVIDA  EN PACIENTES CON LINFOMA NO HODGKIN.","Instituto Tecnológico y de Estudios Superiores de Monterrey","LUIS MARIO VILLELA MARTINEZ",1,"Neoplasias malignas"
"Diseño e Implementación de una Órtesis Robótica de Mano controlada por Interfaz Cerebro-Computadora para pacientes con discapacidad motora","Instituto Nacional de Rehabilitación","JOSEFINA GUTIERREZ MARTINEZ",,"Desarrollo de tecnologías para la salud"
"Determinación de bio-marcadores de daño oxidativo en membranas de eritrocito, como predictores de desenlace perinatal adverso en mujeres embarazadas con sobrepeso.","Instituto Nacional de Perinatología","YESSICA DORIN TORRES RAMOS",Candidato,"Enfermedades crónicas o degenerativas"
"Análisis de microRNAs involucrados en el desarrollo del sistema nervioso central en el suero de mujeres gestantes y no gestantes utilizando una plataforma de microarreglos de expresión .","Instituto Nacional de Perinatología","ANAYANSI MOLINA HERNANDEZ",1,"Salud Reproductiva y Perinatal"
"Eficiencia de insecticidas biorracionales de última generación en el control de vectores del dengue.","Instituto Nacional de Salud Pública","CARLOS FELIX MARINA FERNANDEZ",1,"Enfermedades infecciosas y parasitarias"
"Glicómica del cáncer cervicouterino y su aplicación en la identificación de biomarcadores para la detección temprana y pronóstico de la enfermedad","Instituto Mexicano del Seguro Social","VERONICA VALLEJO RUIZ",2,"Neoplasias malignas"
"AISLAMIENTO Y EXPANSIÓN DE CELULAS T REGULADORAS ALOESPECÌFICAS EN PACIENTES RECEPTORES DE TRASPLANTE RENAL TRATADOS CON BELATACEPT O CICLOSPORINA","Universidad Nacional Autónoma de México","MARIA GLORIA SOLDEVILA MELGAREJO",2,"Enfermedades crónicas o degenerativas"
"EXPRESIÓN DE GENES INVOLUCRADOS EN LA VÍA Wnt-¿-CATENINA _x000D_
EN PACIENTES CON SÍNDROME X-FRÁGIL","Instituto Mexicano del Seguro Social","JAIME PATRICIO BARROS NUÑEZ",2,"Neoplasias malignas"
"Factores clínicos, bioquímicos, dosimétricos y funcionales respiratorios predictores de neumonitis por radioterapia en cáncer de pulmón localmente avanzado (etapas IIIa y IIIb) tratados con quimio y radioterapia","Instituto Nacional de Enfermedades Respiratorias","LUIS TORRE BOUSCOULET",1,"Neoplasias malignas"
"Evaluación del riesgo genético a obesidad basado en la variación del número de copias (CNVs) y del SNP rs9939609 del gen FTO en niños mestizos de Yucatán.","Universidad Autónoma de Yucatán","LIZBETH JOSEFINA GONZALEZ HERRERA",1,"Trastornos de la Nutrición"
"Evaluación del proceso de atención a la salud en la Enfermedad Vascular Cerebral en ancianos mayores de 60 años en Unidades Médicas y Hospitalarias del IMSS","Instituto Mexicano del Seguro Social","LAURA DEL PILAR TORRES ARREOLA",1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"VALOR PRONÓSTICO DEL PATRÓN INFLAMATORIO DEL MICROAMBIENTE TUMORAL EN PACIENTES CON ADENOCARCINOMA PULMONAR EN ESTADIO II Y III CON RESECCIÓN QUIRÚRGICA","Instituto Nacional de Enfermedades Respiratorias","PATRICIA SOFIA GOROCICA ROSETE",1,"Neoplasias malignas"
"Frecuencia de tuberculosis multifármacorresistente en pacientes del Occidente de México","Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco","IKURI ALVAREZ MAYA",Candidato,"Enfermedades infecciosas y parasitarias"
"Análisis del perfil de metilación de microRNAs en suero como biomarcadores de osteoartritis","Instituto Nacional de Rehabilitación","ANTONIO MIRANDA DUARTE",1,"Enfermedades crónicas o degenerativas"
"Evaluación de la interacción entre el consumo de macronutrimentos y el perfil de la microbiota del colon distal y su asociación con obesidad infantil, en población mexicana","Instituto Nacional de Salud Pública","ANA ISABEL BURGUETE GARCIA",1,"Trastornos de la Nutrición"
"Alteraciones en la acumulación nuclear de la ARN polimerasa II dependiente de las proteínas Gpn en el cáncer de mama.","Universidad Autónoma de San Luis Potosí","ROBERTO SANCHEZ OLEA",2,"Neoplasias malignas"
"DESARROLLO, APLICACIÓN Y VALIDACION DE UN ENSAYO DE PCR CUANTITATIVA EN ARREGLO PARA LA DETECCION DE SECUENCIAS VIRALES EN CANCER DE MAMA","Universidad Autónoma de Chiapas","KARINA DEL CARMEN TRUJILLO MURILLO",1,"Neoplasias malignas"
"Evaluación de marcadores de daño renal temprano en una población expuesta a fluoruro a través del agua de bebida.","Centro de Investigación y de Estudios Avanzados del IPN","MARIA DE LA LUZ DEL RAZO JIMENEZ",3,"Enfermedades crónicas o degenerativas"
"Análisis molecular de pacientes y portadoras de enfermedad granulomatosa crónica y su correlación con el pronóstico clínico","Instituto Nacional de Pediatria","LIZBETH BLANCAS GALICIA",Candidato,"Grupos Vulnerables"
"Efecto de la exposición a plaguicidas durante el embarazo  y su interacción con polimorfismos genéticos PON1 sobre eventos reproductivos adversos y sobre el perfil tiroideo materno y del recién nacido en zonas florícolas de Estado de México .","Instituto Nacional de Salud Pública","JULIA BLANCO MUÑOZ",1,"Salud Reproductiva y Perinatal"
"Síntesis de dipéptidos no proteinogénicos de cadena corta como inhibidores de proteasas contra agentes patógenos en las vías respiratorias","Hospital Infantil de México Federico Gómez","ERNESTO CALDERON JAIMES",1,"Desarrollo de tecnologías para la salud"
"Uso de Fármacos  que inducen  Autofagia  como tratamiento adyuvante en Tuberculosis Pulmonar .","Instituto Nacional de Enfermedades Respiratorias","EDUARDO SADA DIAZ",2,"Enfermedades infecciosas y parasitarias"
"Eficacia de la  terapia nutricional y la educación a través de un sistema multimedia para el control metabólico del  paciente con diabetes tipo 2.  Ensayo Clínico Aleatorizado.","Instituto Mexicano del Seguro Social","LUBIA VELAZQUEZ LOPEZ",,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"Identificación de factores pronosticos en el desarrollo,   de Esclerosis Múltiple","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""","GRACIELA ORDOÑEZ LOZANO",1,"Apoyo a la investigación de problemas especificos de salud en las regiones del país_x000D_"
"Prevalencia, Caracterización y Tipificación Molecular de Beta-Lactamasas de Interés Clínico en Enterobacterias Aisladas de Pacientes Pediátricos","Instituto Nacional de Pediatria","AGUSTIN RAFAEL DE COLSA RANERO",,"Enfermedades infecciosas y parasitarias"
"DESARROLLO DE UNA TECNOLOGÍA PARA LA IDENTIFICACIÓN RAPIDA DE TOXOPLASMOSIS ACTIVA EN PACIENTES INMUNOSUPRIMIDOS Y MUJERES EMBARAZADAS.","Universidad Autónoma de Yucatán","MATILDE JIMENEZ COELLO",1,"Salud Reproductiva y Perinatal"
"Manejo del sobrepeso y la obesidad en el primer nivel de atención a la salud: Intervenciones adaptadas al paciente	","Universidad Nacional Autónoma de México","MARIO ENRIQUE ROJAS RUSSELL",,"Trastornos de la Nutrición"
"Utilidad de 30 determinantes proteicos como biomarcadores de predicción de riesgo de Preeclampsia","Universidad Autónoma de Zacatecas","Margarita de la Luz Martinez Fierro",Candidato,"Salud Reproductiva y Perinatal"
"Serotipificación de Toxoplasma gondii para identificación de virulencia de cepas endémicas en México","Instituto Nacional de Pediatria","CORREA BELTRAN MARIA DOLORES",3,"Enfermedades infecciosas y parasitarias"
"Determinación de  diferentes clases y subclases de anticuerpos específicos en muestras de sangre embebida en papel filtro de niños con infección congénita por Toxoplasma gondii como posibles marcadores de diagnóstico pronóstico","Instituto Nacional de Pediatria","IRMA CAÑEDO SOLARES",1,"Salud Reproductiva y Perinatal"
