Proyecto,Institucion,Colaborador,Nivel,Inst Colaborador,Especialidad
MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2,Instituto Nacional De Salud Pública,AIDA JIMÉNEZ CORONA,Nivel 1,Instituto Nacional De Salúd Pública,
MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2,Instituto Nacional De Salud Pública,MA. DE LOURDES GUADALUPE FLORES LUNA,Nivel 1,Instituto Nacional De Salúd Pública,
MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2,Instituto Nacional De Salud Pública,MARÍA EUGENIA JIMÉNEZ CORONA,Nivel 1,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",
MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2,Instituto Nacional De Salud Pública,ROBERT G NELSON,,"National Institute of Diabetes and Digestive and Kidney Diseases, NIH, USA",
MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2,Instituto Nacional De Salud Pública,Juan Carlos Zenteno Ruíz,Nivel 3,"FUNDACION DE ASISTENCIA PRIVADA CONDE DE VALENCIANA, IAP",
MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2,Instituto Nacional De Salud Pública,ENRIQUE OCTAVIO GRAUE HERNÁNDEZ,,,Cornea
MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2,Instituto Nacional De Salud Pública,Yonathan Omar Gárfias Becerra,Nivel 1,FUNDACION DE ASISTENCIA PRIVADA CONDE DE VALENCIANA IAP,INMUNOLOGÍA
MARCADORES DE INFLAMACIÓN SISTÉMICA CRÓNICA Y POLIMORFISMOS GENÉTICOS ASOCIADOS A CAMBIOS EN LA FUNCIÓN RENAL Y EN LA RETINA EN PERSONAS CON INTOLERANCIA A LA GLUCOSA Y DIABETES TIPO 2,Instituto Nacional De Salud Pública,SERGIO CESAR HERNÁNDEZ JIMÉNEZ,,,
Marcadores genético-moleculares para el diagnóstico y el análisis de diversidad de aislados de Salmonella enterica obtenidos de productos cárnicos y lácteos,Universidad Michoacana de San Nicolás de Hidalgo,MA. SOLEDAD VAZQUEZ GARCIDUEÑAS,Nivel 1,Universidad Michoacana de San Nicolás de Hidalgo,
ASOCIACIONES ENTRE POLIMORFISMOS DEL GEN RNASEL INFECCIONES VIRALES CRÓNICAS Y CÁNCER DE PRÓSTATA,Universidad Autónoma De Nuevo León,BETSY HIGGINS,,"The University of Texas Health Science Center at San Antonio, UTHSCSA",ADMINISTRACIÓN DE HOSPITALES Y DE LA ATENCION MEDICA
Marcadores Moleculares Pronósticos en Cáncer de Mama en el Instituto Nacional de Cancerología.,Instituto Nacional de Cancerología,Luis Alonso Herrera Montalvo,Nivel 1,Secretaría de Salud,ONCOLOGÍA
Marcadores Moleculares Pronósticos en Cáncer de Mama en el Instituto Nacional de Cancerología.,Instituto Nacional de Cancerología,ALEJANDRO MANUEL GARCÍA CARRANCA,Nivel 2,Secretaría de Salud,ONCOLOGÍA
Marcadores Moleculares Pronósticos en Cáncer de Mama en el Instituto Nacional de Cancerología.,Instituto Nacional de Cancerología,Alejandro Mohar Betancourt,Nivel 3,Secretaría de Salud,ONCOLOGÍA
Marcadores Moleculares Pronósticos en Cáncer de Mama en el Instituto Nacional de Cancerología.,Instituto Nacional de Cancerología,Eduardo Maafs Molina,,Secretaría de Salud,ONCOLOGÍA
MARCADORES NUTRICIOS Y PSICO-SOCIALES DEL SÍNDROME DE FRAGILIDAD EN ADULTOS MAYORES MEXICANOS,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",JOSÉ ALBERTO RIVERA MÁRQUEZ,,Universidad Nacional Autlónoma Metropolitana,EPIDEMIOLOGÍA Y SALUD DE LAS POBLACIONES
MARCADORES NUTRICIOS Y PSICO-SOCIALES DEL SÍNDROME DE FRAGILIDAD EN ADULTOS MAYORES MEXICANOS,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Luis Miguel Gutiérrez Robledo,,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",GERIATRIA
ASOCIACIONES ENTRE POLIMORFISMOS DEL GEN RNASEL INFECCIONES VIRALES CRÓNICAS Y CÁNCER DE PRÓSTATA,Universidad Autónoma De Nuevo León,BRAD POLLOCK,,"The University of Texas Health Science Center at San Antonio, UTHSCSA",EPIDEMIOLOGÍA
MARCADORES NUTRICIOS Y PSICO-SOCIALES DEL SÍNDROME DE FRAGILIDAD EN ADULTOS MAYORES MEXICANOS,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",KENETH OTTENBACHER,,"University of Texas, Medical Branch at Galveston (UTMB)",REHABILITACION GERIÁTRICA
MARCADORES NUTRICIOS Y PSICO-SOCIALES DEL SÍNDROME DE FRAGILIDAD EN ADULTOS MAYORES MEXICANOS,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",ANA GAMBLE SÁNCHEZ-GAVITO,,Secretaría de Salud del DISTRITO FEDERAL,GERONTOLOGÍA
Mecanismos de acción de la anticoncepción de emergencia: Efectos sobre la expresión endometrial de genes y proteínas reguladas por progesterona.,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Fernando Larrea Gallo,Nivel 3,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Reproducción Humana
Mecanismos de acción de la anticoncepción de emergencia: Efectos sobre la expresión endometrial de genes y proteínas reguladas por progesterona.,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",María Luisa Jiménez Santana,,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Reproducción Humana
Mecanismos de acción de la anticoncepción de emergencia: Efectos sobre la expresión endometrial de genes y proteínas reguladas por progesterona.,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Marta Margarita Durand Carbajal,,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Reproducción Humana
Mecanismos de acción de la anticoncepción de emergencia: Efectos sobre la expresión endometrial de genes y proteínas reguladas por progesterona.,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Karen Patricia Funes Hernández,,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Ginecología y Obstetricia
PUEDE UNA MANIOBRA DE INTERVENCIÓN INFORMATIVA DISMINUIR EL NIVEL DE COTININA URINARIA EN PACIENTES PEDIÁTRICOS CON TABAQUISMO PASIVO?,Instituto Mexicano del Seguro Social,Luz Myriam Reynales Shigematsu,Nivel 1,Instituto Nacional De Salúd Pública,
ASOCIACIONES ENTRE POLIMORFISMOS DEL GEN RNASEL INFECCIONES VIRALES CRÓNICAS Y CÁNCER DE PRÓSTATA,Universidad Autónoma De Nuevo León,CHRISTIAN SILVA PLATAS,,Universidad Autònoma de Nuevo León  - Facultad de Medicina,BIOLOGÍA MOLECULAR
"Mecanismos de acción del Acetato de Ulipristal, un nuevo anticonceptivo de emergencia: efectos sobre la unidad hipotálamo-hipofisaria y el endometrio.","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Fernando Larrea Gallo,Nivel 3,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",BIOLOGÍA DE LA REPRODUCCIÓN HUMANA
"Mecanismos de acción del Acetato de Ulipristal, un nuevo anticonceptivo de emergencia: efectos sobre la unidad hipotálamo-hipofisaria y el endometrio.","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Marta Margarita Durand Carbajal,Nivel 1,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",BIOLOGÍA DE LA REPRODUCCIÓN HUMANA
"Mecanismos de acción del Acetato de Ulipristal, un nuevo anticonceptivo de emergencia: efectos sobre la unidad hipotálamo-hipofisaria y el endometrio.","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",DAVID BARRERA HERNÁNDEZ,Candidato,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",BIOLOGÍA MOLECULAR
"Mecanismos de acción del Acetato de Ulipristal, un nuevo anticonceptivo de emergencia: efectos sobre la unidad hipotálamo-hipofisaria y el endometrio.","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",MAYEL DEL VALLE CHIRINOS ESPIN,Nivel 1,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",BIOLOGÍA MOLECULAR
"Mecanismos de acción del Acetato de Ulipristal, un nuevo anticonceptivo de emergencia: efectos sobre la unidad hipotálamo-hipofisaria y el endometrio.","Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",ARMANDO GAMBOA DOMINGUEZ,Nivel 2,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Patología Endócrina
ASOCIACIONES ENTRE POLIMORFISMOS DEL GEN RNASEL INFECCIONES VIRALES CRÓNICAS Y CÁNCER DE PRÓSTATA,Universidad Autónoma De Nuevo León,Rocio Ortíz López,Nivel 1,Universidad Autónoma de Nuevo León,BIOLOGÍA MOLECULAR E INGENIERÍA GENÉTICA
Medición de marcadores de activación y respuesta inmunológica a retroelementos durante la infección por el virus de la inmunodeficiencia humana.,Instituto Nacional de Enfermedades Respiratorias,Joel Armando Vázquez Pérez,Candidato,Instituto Nacional de Enfermedades Respiratorias,BIOLOGÍA MOLECULAR del VIH SIDA
Medición de marcadores de activación y respuesta inmunológica a retroelementos durante la infección por el virus de la inmunodeficiencia humana.,Instituto Nacional de Enfermedades Respiratorias,Hector Enrique Espinosa Arciniega,Nivel 1,Instituto Nacional de Enfermedades Respiratorias,Inmunología del VIH SIDA
Medición de marcadores de activación y respuesta inmunológica a retroelementos durante la infección por el virus de la inmunodeficiencia humana.,Instituto Nacional de Enfermedades Respiratorias,GUSTAVO REYES TERÁN,Nivel 2,Instituto Nacional de Enfermedades Respiratorias,Infectología
ASOCIACIONES ENTRE POLIMORFISMOS DEL GEN RNASEL INFECCIONES VIRALES CRÓNICAS Y CÁNCER DE PRÓSTATA,Universidad Autónoma De Nuevo León,AUGUSTO ROJAS MARTÍNEZ,Nivel 2,Universidad Autónoma De Nuevo León,BIOLOGÍA MOLECULAR E INGENIERÍA GENÉTICA
"MEJORAMIENTO DE LA PRODUCCIÓN DEL SUERO ANTIVIPERINO, PRODUCIDO EN BIRMEX, A TRAVÉS DEL ESTABLECIMIENTO DE UN ESTANDAR CON VENENO DE SERPIENTES JÓVENES Y ADULTAS DE LOS GÉNEROS C basiliscus y B asper.","Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",ALEJANDRO PÉREZ GROVAS,,"Universidad Nacional Autónoma De México, UNAM - Facultad de Médicina Veterinaria y Zootecnia",Medicina Veterinaria
"MEJORAMIENTO DE LA PRODUCCIÓN DEL SUERO ANTIVIPERINO, PRODUCIDO EN BIRMEX, A TRAVÉS DEL ESTABLECIMIENTO DE UN ESTANDAR CON VENENO DE SERPIENTES JÓVENES Y ADULTAS DE LOS GÉNEROS C basiliscus y B asper.","Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",LIZBEL ESPERANZA LEON SOLIS,,,BIOTECNOLOGÍA Molecular
"MEJORAMIENTO DE LA PRODUCCIÓN DEL SUERO ANTIVIPERINO, PRODUCIDO EN BIRMEX, A TRAVÉS DEL ESTABLECIMIENTO DE UN ESTANDAR CON VENENO DE SERPIENTES JÓVENES Y ADULTAS DE LOS GÉNEROS C basiliscus y B asper.","Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",NELSON JESUS ÁLVAREZ ANELL,,,CIENCIAS QUIMICOBIOLOGICAS
"MEJORAMIENTO DE LA PRODUCCIÓN DEL SUERO ANTIVIPERINO, PRODUCIDO EN BIRMEX, A TRAVÉS DEL ESTABLECIMIENTO DE UN ESTANDAR CON VENENO DE SERPIENTES JÓVENES Y ADULTAS DE LOS GÉNEROS C basiliscus y B asper.","Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",CUAUHTEMOC JUAN HUMBERTO LANZ MENDOZA,Nivel 2,Instituto Nacional De Salúd Pública,
"MEJORAMIENTO DE LA PRODUCCIÓN DEL SUERO ANTIVIPERINO, PRODUCIDO EN BIRMEX, A TRAVÉS DEL ESTABLECIMIENTO DE UN ESTANDAR CON VENENO DE SERPIENTES JÓVENES Y ADULTAS DE LOS GÉNEROS C basiliscus y B asper.","Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",Jesús Martínez Barnetche,Nivel 1,,INMUNOLOGÍA
"MEJORAMIENTO DE LA PRODUCCIÓN DEL SUERO ANTIVIPERINO, PRODUCIDO EN BIRMEX, A TRAVÉS DEL ESTABLECIMIENTO DE UN ESTANDAR CON VENENO DE SERPIENTES JÓVENES Y ADULTAS DE LOS GÉNEROS C basiliscus y B asper.","Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",J Francisco Reta Mares,,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",
"MEJORAMIENTO DE LA PRODUCCIÓN DEL SUERO ANTIVIPERINO, PRODUCIDO EN BIRMEX, A TRAVÉS DEL ESTABLECIMIENTO DE UN ESTANDAR CON VENENO DE SERPIENTES JÓVENES Y ADULTAS DE LOS GÉNEROS C basiliscus y B asper.","Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",ALFREDO USCANGA REYNELL,,Instituto Politécnico Nacional I.P.N. - ENCB,QUIMICA BACTERIOLOGÍA Y PARASITOLOGÍA
"MEJORAMIENTO DE LA PRODUCCIÓN DEL SUERO ANTIVIPERINO, PRODUCIDO EN BIRMEX, A TRAVÉS DEL ESTABLECIMIENTO DE UN ESTANDAR CON VENENO DE SERPIENTES JÓVENES Y ADULTAS DE LOS GÉNEROS C basiliscus y B asper.","Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",MARÍA EUGENIA JIMÉNEZ CORONA,Nivel 1,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",
"MEJORAMIENTO DE LA PRODUCCIÓN DEL SUERO ANTIVIPERINO, PRODUCIDO EN BIRMEX, A TRAVÉS DEL ESTABLECIMIENTO DE UN ESTANDAR CON VENENO DE SERPIENTES JÓVENES Y ADULTAS DE LOS GÉNEROS C basiliscus y B asper.","Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",SAMUEL PONCE DE LEON ROSALES,Nivel 3,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",Epidemiología
ASOCIACIONES ENTRE POLIMORFISMOS DEL GEN RNASEL INFECCIONES VIRALES CRÓNICAS Y CÁNCER DE PRÓSTATA,Universidad Autónoma De Nuevo León,ROBIN LEACH,,,GENÉTICA
MEJORAS AL PROCESO DE ALTA PRODUCCIÓN DE LOVASTATINA: ESTUDIO DE VARIANTES DEL SISTEMA Y MEJORAMIENTO GENÉTICO DE LA CEPA.,Universidad Autónoma Metropolitana,SERGIO REVAH MOISEEV,Nivel 3,DEPARTAMENTO DE INGENIERÍA DE PROCESOS E HIDRÁULICA,INGENIERÍA DE PROCESOS MICROBIANOS
MEJORAS AL PROCESO DE ALTA PRODUCCIÓN DE LOVASTATINA: ESTUDIO DE VARIANTES DEL SISTEMA Y MEJORAMIENTO GENÉTICO DE LA CEPA.,Universidad Autónoma Metropolitana,TERESA PÉREZ AGURRE,,Universidad Autónoma Metropolitana UAM-I,CONSTRUCCIÓN DE CEPAS RECOMBINANTES.
MEJORAS AL PROCESO DE ALTA PRODUCCIÓN DE LOVASTATINA: ESTUDIO DE VARIANTES DEL SISTEMA Y MEJORAMIENTO GENÉTICO DE LA CEPA.,Universidad Autónoma Metropolitana,Javier Barrios González,Nivel 2,Universidad Nacional Autlónoma Metropolitana,BIOSÍNTESIS DE COMPUESTOS DE INTERÉS INDUSTRIAL POR MICROORGANISMOS. DISEÑO DE PROCESOS Y CEPAS.
MEJORAS AL PROCESO DE ALTA PRODUCCIÓN DE LOVASTATINA: ESTUDIO DE VARIANTES DEL SISTEMA Y MEJORAMIENTO GENÉTICO DE LA CEPA.,Universidad Autónoma Metropolitana,NAYELI ÁVILA CISNEROS,,Universidad Autónoma Metropolitana UAM-I,DESARROLLO DE PROCESOS DE FERMENTACIÓN.
MEJORAS AL PROCESO DE ALTA PRODUCCIÓN DE LOVASTATINA: ESTUDIO DE VARIANTES DEL SISTEMA Y MEJORAMIENTO GENÉTICO DE LA CEPA.,Universidad Autónoma Metropolitana,JESUS GABRIEL BAÑOS MEJÍA,,Universidad Autónoma Metropolitana UAM-I,PROCESOS MICROBIANO Y DESARROLLO DE CEPAS.
METALOPROTEASAS DE MATRIZ EN SANGRE DE PACIENTES CON CÁNCER PULMONAR COMO MÉTODO PARA EL DIAGNÓSTICO TEMPRANO DE METASTASIS.,Instituto Nacional De Enfermedades Respiratorias,Luis Martínez Barrera,,Instituto Nacional de Enfermedades Respiratorias,ONCOLOGÍA
ASOCIACIONES ENTRE POLIMORFISMOS DEL GEN RNASEL INFECCIONES VIRALES CRÓNICAS Y CÁNCER DE PRÓSTATA,Universidad Autónoma De Nuevo León,LAURO GÓMEZ GUERRA,,Universidad Autònoma de Nuevo León - Facultad de Medicina,Urología
METALOPROTEASAS DE MATRIZ EN SANGRE DE PACIENTES CON CÁNCER PULMONAR COMO MÉTODO PARA EL DIAGNÓSTICO TEMPRANO DE METASTASIS.,Instituto Nacional De Enfermedades Respiratorias,Cecilia Iturria Rosales,,Instituto Nacional de Enfermedades Respiratorias,QUÍMICA
"METFORMINA SOBRE EL GROSOR ÍNTIMA-MEDIA CAROTÍDEO, LA RIGIDEZ ARTERIAL, LA NITROOXIDACIÓN Y LA INFLAMACIÓN EN PACIENTES DEL ESTUDIO LINDAVISTA CON DIAGNÓSTICO DE SÍNDROME METABÓLICO","Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",GUILLERMO MANUEL CEBALLOS REYES,Nivel 2,"Instituto Politécnico Nacional, I.P.N.",
"METFORMINA SOBRE EL GROSOR ÍNTIMA-MEDIA CAROTÍDEO, LA RIGIDEZ ARTERIAL, LA NITROOXIDACIÓN Y LA INFLAMACIÓN EN PACIENTES DEL ESTUDIO LINDAVISTA CON DIAGNÓSTICO DE SÍNDROME METABÓLICO","Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",Alejandra Meaney Martínez,Candidato,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",CARDIOLOGÍA
"METFORMINA SOBRE EL GROSOR ÍNTIMA-MEDIA CAROTÍDEO, LA RIGIDEZ ARTERIAL, LA NITROOXIDACIÓN Y LA INFLAMACIÓN EN PACIENTES DEL ESTUDIO LINDAVISTA CON DIAGNÓSTICO DE SÍNDROME METABÓLICO","Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",EDUARDO MEANEY MENDIOLEA,,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",CARDIOLOGÍA
"METFORMINA SOBRE EL GROSOR ÍNTIMA-MEDIA CAROTÍDEO, LA RIGIDEZ ARTERIAL, LA NITROOXIDACIÓN Y LA INFLAMACIÓN EN PACIENTES DEL ESTUDIO LINDAVISTA CON DIAGNÓSTICO DE SÍNDROME METABÓLICO","Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",GUSTAVO SOLACHE ORTIZ,,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",CARDIOLOGÍA
ASOCIACIONES ENTRE POLIMORFISMOS DEL GEN RNASEL INFECCIONES VIRALES CRÓNICAS Y CÁNCER DE PRÓSTATA,Universidad Autónoma De Nuevo León,JACINTO ESTEBAN MARÍA,,Universidad Autònoma de Nuevo León - Facultad de Medicina,Urología
"MicroRNAs en circulación sanguínea de pacientes con Cáncer pulmonar: nuevos marcadores, estables y específicos, para el diseño de una prueba diagnóstica no-invasiva y su posible aplicación como blancos terapéuticos a nivel sanguíneo en el Cáncer",Instituto Nacional de Enfermedades Respiratorias,Blanca Ortíz Quintero,,Instituto Nacional de Enfermedades Respiratorias,BIOLOGÍA CELULAR
